"dataset","dep_var","likelihood","model_id"
1,"diff","norm",1
1,"diff","sinh",2
1,"diff","skewnorm",3
1,"linearage","beta",4
1,"linearage","gamma",5
1,"linearage","norm",6
1,"linearage","sinh",7
1,"linearage","skewnorm",8
1,"logage","norm",9
1,"logage","sinh",10
1,"logage","skewnorm",11
1,"logratio","norm",12
1,"logratio","sinh",13
1,"logratio","skewnorm",14
2,"diff","norm",15
2,"diff","sinh",16
2,"diff","skewnorm",17
2,"linearage","beta",18
2,"linearage","gamma",19
2,"linearage","norm",20
2,"linearage","sinh",21
2,"linearage","skewnorm",22
2,"logage","norm",23
2,"logage","sinh",24
2,"logage","skewnorm",25
2,"logratio","norm",26
2,"logratio","sinh",27
2,"logratio","skewnorm",28
3,"diff","norm",29
3,"diff","sinh",30
3,"diff","skewnorm",31
3,"linearage","beta",32
3,"linearage","gamma",33
3,"linearage","norm",34
3,"linearage","sinh",35
3,"linearage","skewnorm",36
3,"logage","norm",37
3,"logage","sinh",38
3,"logage","skewnorm",39
3,"logratio","norm",40
3,"logratio","sinh",41
3,"logratio","skewnorm",42
4,"diff","norm",43
4,"diff","sinh",44
4,"diff","skewnorm",45
4,"linearage","beta",46
4,"linearage","gamma",47
4,"linearage","norm",48
4,"linearage","sinh",49
4,"linearage","skewnorm",50
4,"logage","norm",51
4,"logage","sinh",52
4,"logage","skewnorm",53
4,"logratio","norm",54
4,"logratio","sinh",55
4,"logratio","skewnorm",56
5,"diff","norm",57
5,"diff","sinh",58
5,"diff","skewnorm",59
5,"linearage","beta",60
5,"linearage","gamma",61
5,"linearage","norm",62
5,"linearage","sinh",63
5,"linearage","skewnorm",64
5,"logage","norm",65
5,"logage","sinh",66
5,"logage","skewnorm",67
5,"logratio","norm",68
5,"logratio","sinh",69
5,"logratio","skewnorm",70
6,"diff","norm",71
6,"diff","sinh",72
6,"diff","skewnorm",73
6,"linearage","beta",74
6,"linearage","gamma",75
6,"linearage","norm",76
6,"linearage","sinh",77
6,"linearage","skewnorm",78
6,"logage","norm",79
6,"logage","sinh",80
6,"logage","skewnorm",81
6,"logratio","norm",82
6,"logratio","sinh",83
6,"logratio","skewnorm",84
7,"diff","norm",85
7,"diff","sinh",86
7,"diff","skewnorm",87
7,"linearage","beta",88
7,"linearage","gamma",89
7,"linearage","norm",90
7,"linearage","sinh",91
7,"linearage","skewnorm",92
7,"logage","norm",93
7,"logage","sinh",94
7,"logage","skewnorm",95
7,"logratio","norm",96
